Baby,Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Note
Arlo,"7/4/23, 18:10",Right,,8,
Arlo,"7/4/23, 06:15",Left,6,,
Arlo,"7/4/23, 02:45",Right,,8,
Arlo,"7/4/23, 00:33",Left,7,,
Arlo,"7/3/23, 22:50",Right,,7,
Arlo,"7/3/23, 06:45",Right,,7,
Arlo,"7/3/23, 04:29",Left,7,,
Arlo,"7/3/23, 01:22",Right,,7,
Arlo,"7/2/23, 23:10",Left,10,,
Arlo,"7/2/23, 07:55",Left,6,1,
Arlo,"7/2/23, 06:12",Right,,8,
Arlo,"7/2/23, 03:55",Left,8,,
Arlo,"7/2/23, 00:50",Right,,8,
Arlo,"7/1/23, 21:50",Right,,7,
Arlo,"7/1/23, 14:08",Right,5,10,
Arlo,"7/1/23, 05:47",Right,,10,
Arlo,"7/1/23, 03:15",Left,6,,
Arlo,"6/30/23, 23:50",Right,,7,
Arlo,"6/30/23, 23:05",Left,9,,
Arlo,"6/30/23, 07:02",Right,,6,
Arlo,"6/30/23, 04:34",Right,,10,
Arlo,"6/30/23, 00:22",Left,8,,
Arlo,"6/29/23, 17:28",Right,6,6,
Arlo,"6/29/23, 03:20",Right,,10,
Arlo,"6/29/23, 00:10",Left,8,,,??
Arlo,"6/28/23, 23:15",Right,,6,
Arlo,"6/28/23, 17:16",Right,5,7,
Arlo,"6/28/23, 06:45",Right,,6,
Arlo,"6/28/23, 03:35",Right,,6,
Arlo,"6/28/23, 01:45",Left,6,,
Arlo,"6/28/23, 00:15",Right,,7,
Arlo,"6/27/23, 19:03",Right,8,10,
Arlo,"6/27/23, 04:29",Right,,7,
Arlo,"6/27/23, 02:01",Left,10,,
Arlo,"6/26/23, 22:50",Right,,10,
Arlo,"6/26/23, 07:15",Right,,5,
Arlo,"6/26/23, 05:02",Right,,5,
Arlo,"6/26/23, 02:15",Left,8,,
Arlo,"6/26/23, 00:01",Right,,8,
Arlo,"6/25/23, 15:40",Right,,11,
Arlo,"6/25/23, 07:47",Left,6,2,
Arlo,"6/25/23, 03:40",Right,,7,
Arlo,"6/25/23, 00:40",Left,7,,
Arlo,"6/24/23, 23:11",Right,,7,
Arlo,"6/24/23, 19:18",Right,,16,
Arlo,"6/24/23, 07:10",Left,8,,
Arlo,"6/24/23, 04:46",Right,,6,
Arlo,"6/24/23, 02:35",Left,15,,
Arlo,"6/23/23, 23:10",Right,,10,
Arlo,"6/23/23, 07:10",Right,,5,
Arlo,"6/23/23, 05:33",Left,5,,
Arlo,"6/23/23, 03:33",Right,,8,
Arlo,"6/23/23, 01:15",Left,10,,
Arlo,"6/22/23, 23:50",Right,,6,
Arlo,"6/22/23, 21:40",Right,,6,
Arlo,"6/22/23, 17:58",Right,,12,
Arlo,"6/22/23, 07:13",Left,9,,
Arlo,"6/22/23, 04:13",Left,7,,
Arlo,"6/22/23, 02:05",Right,,7,
Arlo,"6/21/23, 22:20",Left,7,,
Arlo,"6/21/23, 20:04",Right,,12,
Arlo,"6/21/23, 07:10",Right,,8,
Arlo,"6/21/23, 02:05",Right,,8,
Arlo,"6/20/23, 22:45",Left,7,,
Arlo,"6/20/23, 06:55",Right,,9,
Arlo,"6/20/23, 02:15",Right,,6,
Arlo,"6/19/23, 21:30",Right,,5,
Arlo,"6/19/23, 15:30",Right,,7,
Arlo,"6/19/23, 07:01",Right,,8,
Arlo,"6/19/23, 03:42",Right,,7,
Arlo,"6/19/23, 00:42",Left,7,,
Arlo,"6/18/23, 22:07",Right,,7,
Arlo,"6/18/23, 18:59",Left,5,5,
Arlo,"6/18/23, 11:20",Right,,7,
Arlo,"6/18/23, 06:45",Left,7,,
Arlo,"6/18/23, 03:32",Right,,7,
Arlo,"6/18/23, 02:17",Right,,7,
Arlo,"6/17/23, 06:40",Left,6,,
Arlo,"6/17/23, 05:27",Right,,6,
Arlo,"6/17/23, 01:07",Right,,8,
Arlo,"6/16/23, 05:55",Right,,8,
Arlo,"6/16/23, 03:15",Left,8,,
Arlo,"6/15/23, 23:45",Right,,7,
Arlo,"6/15/23, 05:27",Right,,7,
Arlo,"6/15/23, 01:40",Right,,7,
Arlo,"6/14/23, 06:25",Left,5,,
Arlo,"6/14/23, 05:05",Right,,6,
Arlo,"6/14/23, 01:17",Left,7,,
Arlo,"6/13/23, 23:55",Right,,6,
Arlo,"6/13/23, 06:52",Right,,5,
Arlo,"6/13/23, 05:27",Right,,7,
Arlo,"6/13/23, 03:15",Left,6,,
Arlo,"6/12/23, 22:53",Right,,9,
Arlo,"6/12/23, 18:25",Right,6,6,
Arlo,"6/12/23, 06:58",Right,,6,
Arlo,"6/12/23, 03:25",Right,,6,
Arlo,"6/11/23, 23:55",Left,7,,
Arlo,"6/11/23, 21:58",Right,,5,
Arlo,"6/11/23, 18:55",Right,,8,
Arlo,"6/11/23, 13:50",Left,6,3,
Arlo,"6/11/23, 07:15",Right,,5,
Arlo,"6/11/23, 06:00",Left,6,,
Arlo,"6/11/23, 03:40",Right,,8,
Arlo,"6/11/23, 01:15",Left,9,,
Arlo,"6/10/23, 22:00",Right,,10,
Arlo,"6/10/23, 18:25",Right,5,5,
Arlo,"6/10/23, 16:35",Left,5,5,
Arlo,"6/10/23, 07:20",Right,3,6,
Arlo,"6/10/23, 05:10",Left,5,,
Arlo,"6/10/23, 02:30",Right,,8,
Arlo,"6/9/23, 23:12",Left,9,,
Arlo,"6/9/23, 07:05",Right,,7,
Arlo,"6/9/23, 04:50",Right,,5,
Arlo,"6/9/23, 02:22",Left,9,,
Arlo,"6/8/23, 23:15",Right,,8,
Arlo,"6/8/23, 20:20",Left,8,,
Arlo,"6/8/23, 17:30",Right,,8,
Arlo,"6/8/23, 06:00",Left,7,,
Arlo,"6/8/23, 03:05",Right,,7,
Arlo,"6/8/23, 00:35",Right,,12,
Arlo,"6/7/23, 22:40",Left,10,,
Arlo,"6/7/23, 19:10",Right,2,8,
Arlo,"6/7/23, 06:45",Right,,6,
Arlo,"6/7/23, 03:10",Left,8,,
Arlo,"6/7/23, 00:37",Right,3,6,
Arlo,"6/6/23, 21:25",Right,,5,
Arlo,"6/6/23, 19:20",Left,8,4,
Arlo,"6/6/23, 17:20",Right,1,8,
Arlo,"6/6/23, 07:16",Left,2,,
Arlo,"6/6/23, 04:40",Right,,7,
Arlo,"6/6/23, 02:05",Left,7,,
Arlo,"6/5/23, 23:07",Right,,7,
Arlo,"6/5/23, 17:57",Left,8,,
Arlo,"6/5/23, 07:20",Right,,5,
Arlo,"6/5/23, 04:20",Right,,7,
Arlo,"6/5/23, 01:45",Left,7,,
Arlo,"6/4/23, 22:30",Right,,8,
Arlo,"6/4/23, 20:00",Left,4,2,
Arlo,"6/4/23, 19:15",Right,,7,
Arlo,"6/4/23, 17:25",Left,6,,
Arlo,"6/4/23, 12:20",Left,6,,
Arlo,"6/4/23, 10:15",Right,2,6,
Arlo,"6/4/23, 07:38",Right,2,5,
Arlo,"6/4/23, 04:50",Left,9,,
Arlo,"6/4/23, 01:45",Left,8,,
Arlo,"6/3/23, 21:05",Right,3,5,
Arlo,"6/3/23, 16:25",Right,,8,
Arlo,"6/3/23, 13:50",Left,6,2,
Arlo,"6/3/23, 11:15",Right,,7,
Arlo,"6/3/23, 06:51",Left,6,3,
Arlo,"6/3/23, 03:00",Right,,7,
Arlo,"6/3/23, 00:20",Left,9,,
Arlo,"6/2/23, 19:45",Right,,10,
Arlo,"6/2/23, 06:50",,5,2,
Arlo,"6/2/23, 04:20",Right,,6,
